year,political_party ,president
1963,Democrat,Johnson
1964,Democrat,Johnson
1965,Democrat,Johnson
1966,Democrat,Johnson
1967,Democrat,Johnson
1968,Democrat,Johnson
1969,Democrat,Johnson
1970,Republican,Nixon
1971,Republican,Nixon
1972,Republican,Nixon
1973,Republican,Nixon
1974,Republican,Nixon
1975,Republican,Ford
1976,Republican,Ford
1977,Republican,Ford
1978,Democrat,Carter
1979,Democrat,Carter
1980,Democrat,Carter
1981,Democrat,Carter
1982,Republican,Reagan
1983,Republican,Reagan
1984,Republican,Reagan
1985,Republican,Reagan
1986,Republican,Reagan
1987,Republican,Reagan
1988,Republican,Reagan
1989,Republican,Reagan
1990,Republican,Bush
1991,Republican,Bush
1992,Republican,Bush
1993,Republican,Bush
1994,Democrat,Clinton
1995,Democrat,Clinton
1996,Democrat,Clinton
1997,Democrat,Clinton
1998,Democrat,Clinton
1999,Democrat,Clinton
2000,Democrat,Clinton
2001,Democrat,Clinton
2002,Republican,W. Bush
2003,Republican,W. Bush
2004,Republican,W. Bush
2005,Republican,W. Bush
2006,Republican,W. Bush
2007,Republican,W. Bush
2008,Republican,W. Bush
2009,Republican,W. Bush
2010,Democrat,Obama
2011,Democrat,Obama
2012,Democrat,Obama
2013,Democrat,Obama
2014,Democrat,Obama
2015,Democrat,Obama
2016,Democrat,Obama
2017,Democrat,Obama
2018,Republican,Trump
2019,Republican,Trump
